round	UTS_p0.02_1s	CUTS_p0.02_4s	TS	CTS_4s
392	86.421968	21.288865	293.951680	76.061236
393	86.493984	21.326971	294.603600	76.062110
394	86.566400	21.365962	295.262960	76.062810
395	86.637536	21.404648	295.921600	76.063218
396	86.707904	21.442969	296.582640	76.063977
397	86.778192	21.481401	297.237440	76.064676
398	86.848320	21.519010	297.893360	76.065260
399	86.917760	21.557135	298.548560	76.066076
400	86.985056	21.595240	299.211760	76.066484
401	87.054736	21.633550	299.871520	76.067068
402	87.122864	21.671841	300.527200	76.067767
403	87.190144	21.709554	301.183760	76.068117
404	87.258336	21.748009	301.840640	76.068467
405	87.325328	21.786042	302.497120	76.068992
406	87.391600	21.824467	303.151280	76.069517
407	87.458624	21.862735	303.805680	76.070334
408	87.525344	21.900511	304.460480	76.070800
409	87.590976	21.938701	305.116880	76.071208
410	87.656528	21.976156	305.769920	76.071792
411	87.721488	22.014392	306.428720	76.072550
412	87.786928	22.052433	307.083120	76.073191
413	87.852336	22.090330	307.732720	76.073949
414	87.917888	22.127861	308.382720	76.074358
415	87.982576	22.165613	309.031360	76.074882
416	88.047568	22.203730	309.682160	76.075232
417	88.113216	22.241094	310.326160	76.075757
418	88.177984	22.278450	310.970320	76.076340
419	88.241792	22.316037	311.621760	76.076865
420	88.304384	22.353968	312.269840	76.077099
421	88.367552	22.392083	312.917600	76.077507
422	88.429904	22.429574	313.572560	76.077973
423	88.492176	22.466957	314.218960	76.078382
424	88.554544	22.503814	314.866000	76.078673
425	88.616528	22.540974	315.514400	76.079140
426	88.677984	22.577547	316.159760	76.079490
427	88.740112	22.614247	316.806160	76.080015
428	88.801120	22.651329	317.455040	76.080598
429	88.862736	22.688351	318.098880	76.080773
430	88.922736	22.725417	318.740560	76.081414
431	88.982032	22.763124	319.385920	76.081706
432	89.041200	22.799990	320.016560	76.082114
433	89.101136	22.836937	320.662800	76.082406
434	89.160352	22.874017	321.304720	76.082872
435	89.219984	22.910976	321.944720	76.083339
436	89.279536	22.948027	322.581440	76.083805
437	89.338944	22.984621	323.221520	76.084389
438	89.396752	23.021311	323.863440	76.084739
439	89.455344	23.057822	324.499440	76.085088
440	89.513184	23.094603	325.134160	76.085555
441	89.570640	23.131537	325.774080	76.086022
442	89.628608	23.167740	326.416000	76.086313
443	89.685984	23.204119	327.047760	76.086488
444	89.741488	23.240524	327.677920	76.086780
445	89.797712	23.277018	328.313200	76.087130
446	89.853600	23.313362	328.950480	76.087480
447	89.909440	23.349762	329.583760	76.087946
448	89.964512	23.386247	330.214800	76.088354
449	90.020432	23.422441	330.846800	76.088763
450	90.075600	23.458321	331.476800	76.088996
451	90.129856	23.494776	332.108720	76.089229
452	90.184608	23.531167	332.738880	76.089462
453	90.240608	23.567813	333.369760	76.089696
454	90.296032	23.603911	333.997280	76.089929
455	90.350688	23.640129	334.620000	76.090337
456	90.405632	23.676179	335.255840	76.090512
457	90.458960	23.712081	335.882880	76.090687
458	90.512960	23.748289	336.509040	76.090920
459	90.566208	23.783688	337.134080	76.091212
460	90.619856	23.819373	337.761280	76.091562
461	90.674592	23.855189	338.385680	76.091795
462	90.727408	23.890489	339.008880	76.092087
463	90.780016	23.926171	339.635360	76.092262
464	90.831520	23.961559	340.260800	76.092495
465	90.882720	23.996967	340.878160	76.092787
466	90.933312	24.032354	341.500800	76.093020
467	90.983856	24.067314	342.118000	76.093428
468	91.035184	24.102451	342.738720	76.093662
469	91.086192	24.137669	343.359200	76.093778
470	91.136864	24.173312	343.975600	76.094011
471	91.186960	24.208013	344.593360	76.094186
472	91.237056	24.242923	345.213760	76.094478
473	91.287056	24.277714	345.832480	76.094653
474	91.337472	24.312491	346.451760	76.094828
475	91.387552	24.348026	347.067440	76.094945
476	91.438512	24.383211	347.682800	76.095003
477	91.487376	24.417897	348.299520	76.095294
478	91.537216	24.452716	348.910800	76.095469
479	91.587792	24.486854	349.519040	76.095761
480	91.636240	24.521931	350.136080	76.096286
481	91.685408	24.556786	350.747680	76.096344
482	91.734304	24.591535	351.358160	76.096578
483	91.783568	24.625542	351.962480	76.096869
484	91.831152	24.660225	352.567360	76.097219
485	91.877792	24.695027	353.174960	76.097277
486	91.926096	24.729502	353.786960	76.097452
